@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric

@data
0.180508,0.25,0.975135,1
0.210336,0,0.053838,0
0.375455,0.666667,0.001733,1
0.395531,1,0.007374,1
0.442424,0.833333,0.267373,1
0.468267,0.833333,0.858745,1
0.371384,0,0.733186,1
0.464326,0.25,0.533522,0
0.337031,0,0.15245,0
0.499155,0.5,0.188739,0
0.597413,0.833333,0.260538,0
0.650641,0.833333,0.213479,0
0.618072,0.833333,0.15617,0
0.5577,0.25,0.091868,0
0.471297,0,0.07671,0
0.321428,0,0.087446,1
0.390745,0,0.052411,0
0.209525,0.833333,0.013903,1
0.009099,0.833333,0.0296,1
0.017961,0.5,0.004342,1
0.026112,0.083333,0.033533,1
0.094798,0,0.008451,1
0.255075,0,0.011299,1
0.386999,0,0.162846,0
0.500524,0,0.161676,1
0.508116,0.833333,0.164889,0
0.400707,0.833333,0.932088,0
0.4431,0.833333,0.948124,0
0.459582,0.833333,0.936115,0
0.462796,0.833333,0.886497,1
0.479829,0.833333,0.021263,0
0.431911,0,0.050951,0
0.452694,0,0.058513,1
0.454458,0.833333,0.097147,0
0.385548,0.833333,0.097147,0
0.317384,0.833333,0.640977,0
0.325174,0,0.202812,0
0.27539,0,0.022515,0
0.339402,0.583333,0.024119,1
